#"ID_REF"	"GSM1599181"	"GSM1599182"	"GSM1599183"	"GSM1599187"	"GSM1599188"	"GSM1599189"
#CLASS	Healthy	Healthy	Healthy	TB	TB	TB
"ILMN_1651806"	4.8958335	-2.8958333	1.6875	-1.1041666	0.47916666	-0.8125
"ILMN_1651811"	8.270833	19.8125	6.2708335	3.4791667	11.645833	0.35416666
"ILMN_1651817"	1.5625	6.7708335	1.7708334	36.6875	11.645833	27.854166
"ILMN_1651819"	147.3125	157.85417	155.27083	174.39583	169.3125	150.39583
"ILMN_1651826"	1853.3125	1418.3125	1879.3541	1043.3125	2083.6875	1540.3125
"ILMN_1651828"	178.22917	168.60417	243.0625	254.6875	335.4375	203.89583
"ILMN_1651832"	1034.7291	1078.7291	1713.4791	1340.6875	1124.8959	970.4792
"ILMN_1651838"	-8.0625	-3.7708333	-8.6875	-7.8125	-12.645833	-9.770833
"ILMN_1651846"	0.104166664	-3.3958333	-8.395833	-2.8125	-6.3958335	-3.3958333
"ILMN_1651848"	4.3958335	-3.2708333	2.8541667	-4.4375	-9.104167	1.5625
"ILMN_1651850"	14327.0625	14296.5625	13085.4375	14642.8955	16211.0205	16211.0205
"ILMN_1651865"	-2.0208333	-5.2708335	3.1041667	1.5208334	-10.604167	-0.9375
"ILMN_1651872"	127.0625	133.72917	115.270836	92.229164	114.3125	124.1875
"ILMN_1651878"	-3.3958333	-4.3541665	-1.9791666	-6.5625	-4.6875	-2.4791667
"ILMN_1651886"	577.2292	599.8542	527.2708	650.5208	745.4792	781.3958
"ILMN_1651899"	8437.3955	7890.896	9868.6875	9953.6045	9213.4375	10491.1455
"ILMN_1651900"	-3.9375	-0.9375	-4.7708335	8.8125	-1.8125	1.5625
"ILMN_1651902"	8.520833	7.7291665	5.6875	1.1458334	12.604167	8.9375
"ILMN_1651903"	17.145834	20.395834	2.4375	-0.3125	5.7708335	5.8125
"ILMN_1651905"	1.5625	-2.8541667	-9.395833	-2.8958333	-4.7291665	-2.6041667
"ILMN_1651913"	8.520833	-0.9375	2.0625	-0.7708333	2.7291667	-9.3125
"ILMN_1651916"	1.5625	7.5625	5.4791665	0.7291667	4.1041665	5.0208335
"ILMN_1651936"	69.5625	36.0625	100.1875	53.8125	53.604168	57.354168
"ILMN_1651938"	1.7708334	8.354167	4.9791665	-1.8541666	0.7708333	-0.5208333
"ILMN_1651940"	-4.6875	5.0625	-3.0625	-6.9791665	-6.9791665	-8.854167
"ILMN_1651943"	14.895833	9.229167	10.395833	-0.6875	7.1875	-5.1041665
"ILMN_1651944"	10.4375	-0.9375	6.4791665	3.8541667	-4.3958335	4.5625
"ILMN_1651949"	16.4375	6.1875	2.6875	24.5625	15.270833	15.479167
"ILMN_1651950"	-3.8541667	-7.1041665	-0.8125	23.479166	5.5208335	3.7708333
"ILMN_1651958"	7.6458335	10.645833	10.854167	-2.6458333	-0.9375	-3.2708333
"ILMN_1651964"	49.645832	83.6875	116.729164	70.6875	45.979168	69.145836
"ILMN_1651966"	13.979167	2.1458333	2.9375	11.645833	6.3958335	20.020834
"ILMN_1651967"	13.770833	2.0208333	10.854167	3.7708333	5.3125	3.3541667
"ILMN_1651980"	3.8541667	0.7291667	7.3541665	0.4375	0.3125	-2.0208333
"ILMN_1651984"	-8.395833	7.1875	9.5625	-6.0625	8.9375	7.2708335
"ILMN_1651987"	39.979168	21.520834	53.020832	16.854166	35.8125	41.5625
"ILMN_1652000"	26.854166	11.1875	14.0625	16.229166	4.3125	21.020834
"ILMN_1652003"	197.60417	143.02083	147.0625	224.52083	210.64583	169.5625
"ILMN_1652006"	29.395834	8.020833	8.0625	16.9375	10.520833	16.4375
"ILMN_1652008"	19.604166	19.270834	27.145834	11.4375	20.104166	12.604167
"ILMN_1652015"	9.020833	5.2291665	0.8958333	5.0208335	6.5625	5.8125
"ILMN_1652017"	3.0625	1.5625	-14.6875	-9.604167	-0.4375	-7.6458335
"ILMN_1652022"	0.8125	5.3958335	1.2291666	-1.9375	-4.6458335	0.35416666
"ILMN_1652023"	7.1875	-4.6041665	2.9375	1.3541666	1.1875	-1.0625
"ILMN_1652024"	15.979167	50.770832	13.6875	52.354168	42.729168	37.895832
"ILMN_1652037"	0.7291667	1.6875	4.6875	-3.8125	0.6041667	-3.6875
"ILMN_1652056"	-9.4375	-4.7708335	-7.1041665	-9.020833	-3.3958333	-7.0625
"ILMN_1652065"	166.02083	292.14584	141.14583	182.10417	175.10417	159.6875
"ILMN_1652066"	-12.020833	5.0208335	-3.8958333	-2.3541667	2.0208333	-0.0625
"ILMN_1652072"	10.645833	-1.3125	2.3541667	6.5625	3.8541667	13.770833
"ILMN_1652073"	6993.396	5970.729	6968.479	6307.0625	8158.9375	7147.5625
"ILMN_1652079"	-1.1458334	-5.3958335	8.145833	5.0208335	-0.5625	13.020833
"ILMN_1652081"	-1.9375	3.1041667	4.7291665	-1.0208334	-3.0208333	0.35416666
"ILMN_1652082"	587.6042	431.3125	752.9792	539.6458	505.52084	369.10416
"ILMN_1652085"	184.97917	198.89583	118.229164	165.47917	131.77083	137.35417
"ILMN_1652088"	-5.4375	1.5625	-2.9791667	-3.9791667	-9.604167	-4.7708335
"ILMN_1652098"	0.104166664	-6.7291665	-0.39583334	-3.7708333	-2.9791667	2.4375
"ILMN_1652104"	-4.3541665	4.0625	-0.3125	-11.395833	-3.7708333	-13.5625
"ILMN_1652110"	6.7291665	-1.9791666	0.35416666	-2.8958333	-3.7708333	0.35416666
"ILMN_1652113"	27.604166	28.770834	15.520833	10.520833	5.7708335	9.9375
"ILMN_1652123"	477.1875	601.8125	454.77084	404.9375	403.9375	367.22916
"ILMN_1652128"	957.6458	997.8125	626.4375	776.6875	910.6042	873.3958
"ILMN_1652132"	2.5625	-2.0208333	2.6458333	2.6875	5.0625	5.9375
"ILMN_1652137"	-7.6041665	4.9375	-2.4375	-3.4375	-3.5625	-2.1875
"ILMN_1652144"	12.3125	10.8125	-2.1875	3.0625	1.2291666	6.5625
"ILMN_1652147"	0.8125	6.1875	0.35416666	17.1875	22.020834	11.729167
"ILMN_1652151"	0.27083334	-0.104166664	2.1041667	11.4375	5.3541665	-2.1458333
"ILMN_1652155"	13.5625	0.3125	-2.8541667	-1.9791666	1.5208334	-4.5208335
"ILMN_1652160"	67.479164	61.854168	77.645836	41.8125	55.9375	33.4375
"ILMN_1652161"	0.7291667	8.1875	8.354167	6.7708335	-2.0625	0.3125
"ILMN_1652163"	5.9375	7.7708335	13.395833	31.645834	11.854167	15.6875
"ILMN_1652164"	31.645834	13.020833	24.770834	14.895833	22.4375	19.520834
"ILMN_1652166"	-1.6458334	7.0625	-2.4375	2.0625	0.8125	-4.3541665
"ILMN_1652170"	-0.0625	-3.4791667	-3.5208333	-0.0625	-7.5625	-5.6041665
"ILMN_1652171"	-7.1041665	-5.3541665	-10.395833	-4.8958335	8.1875	-4.8125
"ILMN_1652175"	-0.35416666	-12.3125	3.0625	8.1875	-5.9375	1.0625
"ILMN_1652178"	7.4791665	6.8125	10.729167	11.854167	-3.0208333	2.1875
"ILMN_1652181"	-3.3958333	-2.8541667	-7.5625	-2.9375	-2.0625	-2.6041667
"ILMN_1652185"	181.0625	159.60417	220.64583	259.22916	210.85417	184.3125
"ILMN_1652188"	5.3541665	-1.6458334	5.8125	-0.6458333	8.104167	13.5625
"ILMN_1652196"	4.6458335	5.0625	0.104166664	-1.3125	-2.3958333	-0.020833334
"ILMN_1652198"	20.9375	10.854167	18.020834	28.520834	31.395834	34.395832
"ILMN_1652199"	69.104164	104.6875	23.479166	307.60416	47.479168	11.395833
"ILMN_1652205"	4.0625	-3.4375	13.0625	7.5625	7.5625	8.520833
"ILMN_1652206"	1.3541666	14.520833	4.6458335	-9.645833	-1.3958334	2.9375
"ILMN_1652207"	5432.854	5199.729	6221.104	6231.146	7283.521	7328.9375
"ILMN_1652209"	4.6458335	3.6875	-1.4375	14.0625	7.3125	2.8958333
"ILMN_1652215"	111.479164	87.770836	114.479164	134.77083	162.22917	141.97917
"ILMN_1652218"	4.6458335	3.0208333	18.020834	3.1041667	2.1458333	19.479166
"ILMN_1652219"	34.770832	-0.6458333	5.9375	-3.0625	5.7708335	13.145833
"ILMN_1652223"	60.354168	28.5625	31.270834	41.979168	40.645832	30.1875
"ILMN_1652230"	15460.9795	15765.6875	16014.2705	17438.021	16385.396	17362.521
"ILMN_1652236"	-2.0625	0.8125	3.8541667	-1.1458334	-5.9375	5.7708335
"ILMN_1652237"	29.520834	5.1041665	8.979167	2.3541667	10.645833	0.9791667
"ILMN_1652242"	29.5625	15.1875	17.145834	19.0625	24.0625	18.729166
"ILMN_1652243"	2.0625	7.9375	-0.020833334	4.6458335	9.604167	-1.1458334
"ILMN_1652244"	-3.0625	-8.0625	-0.8541667	-2.3125	-8.8125	-1.0625
"ILMN_1652246"	-4.3958335	-5.9791665	-3.4791667	-5.6875	1.3958334	-0.7708333
"ILMN_1652248"	3.4791667	-2.4791667	-9.0625	5.3958335	2.6875	2.5625
"ILMN_1652249"	-10.6875	9.604167	8.229167	-3.8958333	-1.1875	6.7708335
"ILMN_1652254"	6.9375	13.479167	9.520833	1.2708334	3.7291667	3.6875
"ILMN_1652259"	-1.6458334	1.2708334	2.8541667	7.0625	1.6875	1.5208334
"ILMN_1652276"	9.604167	6.4791665	17.9375	0.35416666	5.5208335	-0.0625
"ILMN_1652277"	14.020833	13.645833	17.104166	25.3125	24.020834	30.3125
"ILMN_1652280"	6.7291665	5.3958335	0.35416666	0.8125	9.395833	7.8541665
"ILMN_1652284"	4.1041665	-6.7291665	4.8125	-3.7708333	1.5625	2.3541667
"ILMN_1652287"	8.020833	-3.0625	9.5625	-2.1875	3.8541667	-3.0625
"ILMN_1652291"	-6.2708335	-0.7291667	2.4375	3.1041667	2.1458333	-0.9375
