"EntrezID","Name","CombinedES","Pval"
"9984","THOC1","-1.2876","0.0076642"
"200958","MUC20","-0.67753","0.0076642"
"148823","C1orf150","-0.68181","0.0076728"
"79415","C17orf62","1.0684","0.0077013"
"23275","POFUT2","-0.6982","0.0077013"
"55593","OTUD5","-0.90646","0.0078866"
"9804","TOMM20","-0.82959","0.007938"
"3326","HSP90AB1","-0.78431","0.00797"
"83596","BCL2L12","-0.6784","0.0079963"
"5685","PSMA4","1.5795","0.0080734"
"54663","WDR74","-1.5111","0.0080734"
"79872","CBLL1","-0.67841","0.0080734"
"644","BLVRA","0.98172","0.0080805"
"51292","GMPR2","1.2418","0.0080805"
"8667","EIF3H","-0.67719","0.0080805"
"51699","VPS29","0.67867","0.0081414"
"6322","SCML1","-0.85929","0.0082452"
"51313","FAM198B","1.2305","0.0082452"
"1039","CDR2","-1.2481","0.0083306"
"6829","SUPT5H","-0.9387","0.0084066"
"9988","DMTF1","-0.94316","0.0084281"
"219285","SAMD9L","1.595","0.0085332"
"6809","STX3","1.0342","0.0085615"
"64848","YTHDC2","-0.67287","0.0086654"
"83706","FERMT3","0.74223","0.0086654"
"5361","PLXNA1","-0.86826","0.0088478"
"26086","GPSM1","-0.67303","0.0088479"
"23353","SUN1","-1.2704","0.0088826"
"83666","PARP9","1.6094","0.008932"
"8761","PABPC4","-1.2339","0.008932"
"864","RUNX3","-1.2728","0.008932"
"55149","MTPAP","-0.75632","0.008932"
"28514","DLL1","-0.70525","0.008932"
"129607","CMPK2","0.67022","0.008932"
"1877","E4F1","-1.4473","0.0089323"
"26088","GGA1","-0.73424","0.0089705"
"283643","C14orf80","-0.76713","0.0089705"
"5467","PPARD","-0.83012","0.0093743"
"5226","PGD","1.2272","0.0093743"
"5476","CTSA","0.87526","0.0093743"
"6041","RNASEL","0.93716","0.0094295"
"81608","FIP1L1","-0.66761","0.0094648"
"90826","PRMT10","-1.2383","0.009534"
"51061","TXNDC11","-0.66499","0.0096394"
"7884","SLBP","-0.9367","0.00965"
"6640","SNTA1","-0.66491","0.009767"
"7879","RAB7A","0.8814","0.009767"
"54739","XAF1","1.1685","0.0098247"
"634","CEACAM1","1.368","0.0098247"
"64418","TMEM168","-0.73347","0.0098247"
"51246","SHISA5","1.1515","0.0098291"
"10643","IGF2BP3","1.1894","0.0098398"
"770","CA11","-0.6605","0.0098711"
"27436","EML4","-1.1628","0.0099469"
"27106","ARRDC2","-1.4938","0.0099469"
"475","ATOX1","1.0632","0.0099469"
"738","C11orf2","-1.2938","0.0099469"
"9265","CYTH3","-0.66035","0.0099469"
"79143","MBOAT7","0.66168","0.0099469"
"6036","RNASE2","1.7186","0.0099922"
